n, Bubble_A, Insert_A, Selection_A
100, 6099, 2127, 285
200, 28695, 9758, 585
300, 63288, 21388, 879
400, 107700, 36292, 1182
500, 172521, 57999, 1476
600, 258780, 86852, 1770
700, 352473, 118183, 2067
800, 457137, 153171, 2379
900, 572649, 191775, 2688
1000, 723924, 242300, 2976
1100, 881007, 294761, 3282
1200, 1041981, 348519, 3579
1300, 1233822, 412566, 3873
1400, 1431759, 478645, 4176
1500, 1658547, 554341, 4491
1600, 1892130, 632302, 4770
1700, 2123307, 709462, 5070
1800, 2389584, 798322, 5376
1900, 2656488, 887390, 5679
2000, 2962863, 989615, 5976
2100, 3239916, 1082066, 6264
2200, 3570130, 1192235, 6570
2300, 3909117, 1305329, 6879
2400, 4248348, 1418506, 7164
2500, 4604886, 1537452, 7482
2600, 4945944, 1651241, 7776
2700, 5355327, 1787802, 8070
2800, 5773432, 1927271, 8379
2900, 6295212, 2101300, 8679
3000, 6729621, 2246203, 8985
3100, 7161834, 2390369, 9279
3200, 7656312, 2555295, 9570
3300, 8258688, 2756183, 9873
3400, 8757283, 2922483, 10178
3500, 9227685, 3079391, 10482
3600, 9716415, 3242395, 10773
3700, 10245337, 3418800, 11070
3800, 10835256, 3615545, 11382
3900, 11546350, 3852674, 11666
4000, 12094297, 4035423, 11984
4100, 12587649, 4199973, 12270
4200, 13194572, 4402380, 12579
4300, 13975830, 4662898, 12873
4400, 14587233, 4866797, 13176
4500, 15069991, 5027820, 13477
4600, 15565584, 5193117, 13769
4700, 16456797, 5490288, 14074
4800, 17301738, 5772034, 14381
4900, 18051592, 6022089, 14679
5000, 18619374, 6211448, 14970
5100, 19518369, 6511213, 15273
5200, 20381453, 6799007, 15574
5300, 21037527, 7017798, 15876
5400, 21820842, 7279004, 16179
5500, 22753206, 7589893, 16473
5600, 23688381, 7901717, 16781
5700, 24521953, 8179675, 17068
5800, 25354256, 8457207, 17374
5900, 26282554, 8766743, 17674
6000, 27184308, 9067425, 17967
6100, 28011184, 9343150, 18273
6200, 28884628, 9634400, 18582
6300, 29859051, 9959305, 18873
6400, 30836569, 10285245, 19160
