n, Bubble_A+C, Insertion_A+C, Selection_A+C
100, 10461, 4259, 5334
200, 48516, 19522, 20684
300, 106827, 42783, 46028
400, 185965, 72591, 81381
500, 296041, 116005, 126725
600, 437853, 173711, 182069
700, 594671, 236373, 247416
800, 774238, 306349, 322778
900, 972008, 383557, 408137
1000, 1219683, 484607, 503475
1100, 1484578, 589529, 608831
1200, 1757621, 697045, 724178
1300, 2077430, 825139, 849522
1400, 2410911, 957297, 984875
1500, 2775983, 1108689, 1130240
1600, 3166891, 1264611, 1285569
1700, 3560725, 1418930, 1450919
1800, 4004956, 1596649, 1626275
1900, 4445945, 1774785, 1811628
2000, 4950145, 1979235, 2006975
2100, 5436618, 2164137, 2212313
2200, 5987041, 2384477, 2427669
2300, 6542103, 2610667, 2653028
2400, 7116013, 2837021, 2888363
2500, 7723392, 3074913, 3133731
2600, 8302692, 3302488, 3389075
2700, 8984751, 3575610, 3654419
2800, 9682076, 3854547, 3929778
2900, 10489695, 4202603, 4215128
3000, 11224108, 4492409, 4510484
3100, 11961599, 4780746, 4815828
3200, 12762982, 5110598, 5131169
3300, 13693890, 5512378, 5456522
3400, 14511922, 5844976, 5791877
3500, 15330719, 6158785, 6137231
3600, 16182680, 6484799, 6492572
3700, 17079925, 6837611, 6857919
3800, 18036217, 7231096, 7233281
3900, 19141881, 7705356, 7618615
4000, 20080181, 8070854, 8013983
4100, 20978437, 8399955, 8419319
4200, 22001922, 8804769, 8834678
4300, 23213206, 9325807, 9260022
4400, 24252754, 9733607, 9695375
4500, 25178383, 10055649, 10140726
4600, 26121188, 10386244, 10596068
4700, 27482373, 10980586, 11061423
4800, 28806162, 11544079, 11536780
4900, 30035201, 12044185, 12022128
5000, 31098105, 12422905, 12517469
5100, 32512002, 13022435, 13022822
5200, 33888409, 13598023, 13538173
5300, 35064188, 14035606, 14063525
5400, 36370852, 14558017, 14598878
5500, 37855410, 15179794, 15144222
5600, 39345278, 15803443, 15699580
5700, 40731135, 16359358, 16264917
5800, 42147489, 16914424, 16840273
5900, 43658190, 17533493, 17425623
6000, 45167586, 18134860, 18020966
6100, 46590928, 18686310, 18626322
6200, 48071904, 19268808, 19241681
6300, 49665845, 19918621, 19867022
6400, 51291532, 20570500, 20502359
