n, Bubble_C, Insert_C, Selection_C
100, 4362, 2132, 5049
200, 19821, 9764, 20099
300, 43539, 21395, 45149
400, 78265, 36299, 80199
500, 123520, 58006, 125249
600, 179073, 86859, 180299
700, 242198, 118190, 245349
800, 317101, 153178, 320399
900, 399359, 191782, 405449
1000, 495759, 242307, 500499
1100, 603571, 294768, 605549
1200, 715640, 348526, 720599
1300, 843608, 412573, 845649
1400, 979152, 478652, 980699
1500, 1117436, 554348, 1125749
1600, 1274761, 632309, 1280799
1700, 1437418, 709468, 1445849
1800, 1615372, 798327, 1620899
1900, 1789457, 887395, 1805949
2000, 1987282, 989620, 2000999
2100, 2196702, 1082071, 2206049
2200, 2416911, 1192242, 2421099
2300, 2632986, 1305338, 2646149
2400, 2867665, 1418515, 2881199
2500, 3118506, 1537461, 3126249
2600, 3356748, 1651247, 3381299
2700, 3629424, 1787808, 3646349
2800, 3908644, 1927276, 3921399
2900, 4194483, 2101303, 4206449
3000, 4494487, 2246206, 4501499
3100, 4799765, 2390377, 4806549
3200, 5106670, 2555303, 5121599
3300, 5435202, 2756195, 5446649
3400, 5754639, 2922493, 5781699
3500, 6103034, 3079394, 6126749
3600, 6466265, 3242404, 6481799
3700, 6834588, 3418811, 6846849
3800, 7200961, 3615551, 7221899
3900, 7595531, 3852682, 7606949
4000, 7985884, 4035431, 8001999
4100, 8390788, 4199982, 8407049
4200, 8807350, 4402389, 8822099
4300, 9237376, 4662909, 9247149
4400, 9665521, 4866810, 9682199
4500, 10108392, 5027829, 10127249
4600, 10555604, 5193127, 10582299
4700, 11025576, 5490298, 11047349
4800, 11504424, 5772045, 11522399
4900, 11983609, 6022096, 12007449
5000, 12478731, 6211457, 12502499
5100, 12993633, 6511222, 13007549
5200, 13506956, 6799016, 13522599
5300, 14026661, 7017808, 14047649
5400, 14550010, 7279013, 14582699
5500, 15102204, 7589901, 15127749
5600, 15656897, 7901726, 15682799
5700, 16209182, 8179683, 16247849
5800, 16793233, 8457217, 16822899
5900, 17375636, 8766750, 17407949
6000, 17983278, 9067435, 18002999
6100, 18579744, 9343160, 18608049
6200, 19187276, 9634408, 19223099
6300, 19806794, 9959316, 19848149
6400, 20454963, 10285255, 20483199
