n, HeapSort_A+C, QuickSort_A+C
100, 2926, 1827
200, 9821, 6647
300, 20915, 14730
400, 36707, 27008
500, 57111, 43271
600, 82444, 60919
700, 112835, 84680
800, 148348, 110181
900, 189169, 135244
1000, 235160, 166954
1100, 286426, 199622
1200, 343259, 241901
1300, 405544, 286336
1400, 473507, 331771
1500, 547070, 384090
1600, 626299, 437540
1700, 711234, 489841
1800, 801921, 557142
1900, 898087, 618243
2000, 1000072, 693429
2100, 1107882, 762702
2200, 1221345, 835684
2300, 1341127, 908770
2400, 1466757, 995567
2500, 1598472, 1093337
2600, 1736352, 1189558
2700, 1880194, 1293194
2800, 2030063, 1387066
2900, 2185894, 1496060
3000, 2348171, 1606864
3100, 2516452, 1717413
3200, 2691041, 1834280
3300, 2871665, 1958022
3400, 3058334, 2091567
3500, 3251081, 2238247
3600, 3449993, 2383272
3700, 3655083, 2521431
3800, 3866562, 2668025
3900, 4084486, 2821711
4000, 4308250, 2990953
4100, 4538497, 3149683
4200, 4775062, 3324480
4300, 5018248, 3511843
4400, 5267806, 3701822
4500, 5523466, 3875187
4600, 5785831, 4053021
4700, 6054721, 4229982
4800, 6330243, 4417713
4900, 6612140, 4600450
5000, 6900237, 4798872
5100, 7195192, 4990863
5200, 7496791, 5193104
5300, 7804901, 5408957
5400, 8119536, 5618933
5500, 8440952, 5848296
5600, 8768910, 6069100
5700, 9103094, 6291208
5800, 9443635, 6533873
5900, 9791045, 6769181
6000, 10145321, 7005313
6100, 10505994, 7241720
6200, 10873807, 7490881
6300, 11247951, 7731082
6400, 11628444, 7979606
6500, 12015527, 8236123
6600, 12409981, 8500736
6700, 12811401, 8786431
6800, 13219111, 9074516
6900, 13633538, 9358116
7000, 14054379, 9635600
7100, 14481801, 9902339
7200, 14916215, 10203371
7300, 15356786, 10535304
7400, 15804326, 10856592
7500, 16258522, 11218795
7600, 16719273, 11530171
7700, 17186868, 11839024
7800, 17661581, 12158445
7900, 18142614, 12477861
8000, 18630408, 12802924
8100, 19124676, 13139224
8200, 19625804, 13488942
8300, 20134053, 13840225
8400, 20648732, 14198290
8500, 21170801, 14531089
8600, 21699568, 14942074
8700, 22235349, 15285042
8800, 22778153, 15657548
8900, 23328011, 16053593
9000, 23884642, 16410626
9100, 24448847, 16837176
9200, 25019352, 17271643
9300, 25596659, 17676175
9400, 26181427, 18122677
9500, 26772957, 18542992
9600, 27371814, 18933054
9700, 27977431, 19327925
9800, 28590084, 19747045
9900, 29209948, 20171923
10000, 29837209, 20616186
