Row Labels,Average of  HeapSort_A+C,Average of  QuickSort_A+C
100,3496,5133
200,11533,23671
300,24470,65299
400,42626,134146
500,65941,239575
600,94912,389855
700,129571,592444
800,169934,855703
900,215998,1189797
1000,267763,1601567
1100,325620,2100637
1200,389726,2687127
1300,460054,3385225
1400,536635,4185840
1500,619414,5106797
1600,708468,6149753
1700,803718,7318804
1800,905244,8650281
1900,1012938,10122875
2000,1126914,11738781
2100,1247320,13517707
2200,1374536,15478430
2300,1508452,17622604
2400,1649151,19958908
2500,1796542,22488379
2600,1950698,25218567
2700,2111599,28168658
2800,2279266,31345098
2900,2453669,34736059
3000,2634832,38364694
3100,2822677,42241256
3200,3017291,46395121
3300,3218634,50810896
3400,3426748,55464730
3500,3641620,60414014
3600,3863230,65636595
3700,4091585,71181939
3800,4326692,76997026
3900,4568547,83139260
4000,4817133,89604631
4100,5072472,96390718
4200,5334968,103477548
4300,5604698,110915463
4400,5881626,118710401
4500,6165738,126859317
4600,6457036,135370673
4700,6755541,144249994
4800,7061295,153518468
4900,7374215,163173917
5000,7694328,173216174
5100,8021661,183685017
5200,8356132,194556674
5300,8697790,205853899
5400,9046651,217574505
5500,9402706,229736454
5600,9765961,242339421
5700,10136457,255376004
5800,10514142,268915131
5900,10899024,282927560
6000,11291103,297376960
6100,11690373,312303025
6200,12096784,327745850
6300,12510406,343698307
6400,12931199,360148473
6500,13359169,377109447
6600,13794406,394615941
6700,14236787,412639837
6800,14686405,431228373
6900,15143183,450377869
7000,15607202,470039141
7100,16078419,490272880
7200,16556812,511100069
7300,17042423,532501343
7400,17535204,554485087
7500,18035226,577041070
7600,18542433,600234476
7700,19056801,624023421
7800,19578408,648438497
7900,20107184,673470189
8000,20643187,699176911
8100,21186310,725485819
8200,21736743,752438786
8300,22294827,780066290
8400,22860544,808385338
8500,23433972,837356341
8600,24015042,867029041
8700,24603842,897446734
8800,25200244,928500758
8900,25804397,960273507
9000,26416219,992747994
9100,27035722,1025981970
9200,27662927,1059962167
9300,28297831,1094658618
9400,28940430,1130165588
9500,29590707,1166343565
9600,30248693,1203317374
9700,30914351,1241062484
9800,31587781,1279589408
9900,32268818,1318907965
10000,32957604,1358994247
Grand Total,10805377.56,348789163.8
